2024-02-08 18:19:33.065 [main] INFO  org.example.Calculator - [FACTORIAL] - 3.0
2024-02-08 18:19:33.067 [main] INFO  org.example.Calculator - [RESULT - FACTORIAL] - 6.0
2024-02-08 18:19:44.316 [main] INFO  org.example.Calculator - [FACTORIAL] - 5.0
2024-02-08 18:19:44.316 [main] INFO  org.example.Calculator - [RESULT - FACTORIAL] - 120.0
2024-02-08 18:19:50.133 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1024.0
2024-02-08 18:19:50.133 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 6.931471805599453
2024-02-08 18:19:58.591 [main] INFO  org.example.Calculator - [NATURAL LOG] - 10.0
2024-02-08 18:19:58.591 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 2.302585092994046
2024-02-08 18:20:16.528 [main] INFO  org.example.Calculator - [POWER - 2.7 RAISED TO] 2.0
2024-02-08 18:20:16.528 [main] INFO  org.example.Calculator - [RESULT - POWER] - 7.290000000000001
2024-02-08 18:51:03.716 [main] INFO  org.example.Calculator - [FACTORIAL] - 5.0
2024-02-08 18:51:03.719 [main] INFO  org.example.Calculator - [RESULT - FACTORIAL] - 120.0
2024-02-08 18:51:09.829 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-08 18:51:09.829 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-08 18:51:16.423 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 4.0
2024-02-08 18:51:16.424 [main] INFO  org.example.Calculator - [RESULT - POWER] - 256.0
2024-02-08 18:51:23.109 [main] INFO  org.example.Calculator - [NATURAL LOG] - 554.0
2024-02-08 18:51:23.109 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 6.317164686747284
2024-02-13 11:45:54.099 [main] INFO  org.example.Calculator - [SQ ROOT] - 16.0
2024-02-13 11:45:54.104 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 4.0
2024-02-13 11:45:54.104 [main] INFO  org.example.Calculator - [SQ ROOT] - 1.0
2024-02-13 11:45:54.104 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.0
2024-02-13 11:45:54.104 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2024-02-13 11:45:54.105 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2024-02-13 11:45:54.105 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-13 11:45:54.105 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-13 11:45:54.106 [main] INFO  org.example.Calculator - [SQ ROOT] - 3.0
2024-02-13 11:45:54.106 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2024-02-13 11:45:54.107 [main] INFO  org.example.Calculator - [SQ ROOT] - 4.0
2024-02-13 11:45:54.107 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 2.0
2024-02-13 11:45:54.107 [main] INFO  org.example.Calculator - [SQ ROOT] - 81.0
2024-02-13 11:45:54.107 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 9.0
2024-02-13 11:45:54.107 [main] INFO  org.example.Calculator - [SQ ROOT] - 36.0
2024-02-13 11:45:54.108 [main] INFO  org.example.Calculator - [RESULT - SQ ROOT] - 6.0
2024-02-13 11:45:54.109 [main] INFO  org.example.Calculator - [NATURAL LOG] - 1.0
2024-02-13 11:45:54.109 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.0
2024-02-13 11:45:54.112 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2024-02-13 11:45:54.114 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2024-02-13 11:45:54.114 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 3.0
2024-02-13 11:45:54.114 [main] INFO  org.example.Calculator - [RESULT - POWER] - 27.0
2024-02-13 11:45:54.114 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2024-02-13 11:45:54.115 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2024-02-13 11:45:54.115 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 3.0
2024-02-13 11:45:54.115 [main] INFO  org.example.Calculator - [RESULT - POWER] - 125.0
2024-02-13 11:45:54.116 [main] INFO  org.example.Calculator - [POWER - 2.0 RAISED TO] 3.0
2024-02-13 11:45:54.116 [main] INFO  org.example.Calculator - [RESULT - POWER] - 8.0
2024-02-13 11:45:54.117 [main] INFO  org.example.Calculator - [POWER - 1.0 RAISED TO] 3.0
2024-02-13 11:45:54.117 [main] INFO  org.example.Calculator - [RESULT - POWER] - 1.0
2024-02-13 11:45:54.117 [main] INFO  org.example.Calculator - [POWER - 3.0 RAISED TO] 4.0
2024-02-13 11:45:54.117 [main] INFO  org.example.Calculator - [RESULT - POWER] - 81.0
2024-02-13 11:45:54.118 [main] INFO  org.example.Calculator - [POWER - 4.0 RAISED TO] 3.0
2024-02-13 11:45:54.118 [main] INFO  org.example.Calculator - [RESULT - POWER] - 64.0
2024-02-13 11:45:54.118 [main] INFO  org.example.Calculator - [POWER - 5.0 RAISED TO] 2.0
2024-02-13 11:45:54.119 [main] INFO  org.example.Calculator - [RESULT - POWER] - 25.0
2024-02-13 11:45:54.120 [main] INFO  org.example.Calculator - [NATURAL LOG] - 2.4
2024-02-13 11:45:54.120 [main] INFO  org.example.Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
